Algoritma Adı,Öğrenme Türü,Kullanım Alanı,Karmaşıklık Düzeyi,Model Yapısı,Aşırı Öğrenme Eğilimi,Katman Tipi,Veri Tipi,Donanım Gerkesinimleri,Veri Büyüklüğü ,FineTune Gereksinimi,Popülerlik
Perceptron,sl,cl,comp1,li,of1,sl2,nd,0.3,MB,ft1,p1
Çok Katmanlı Algılayıcı (MLP),sl,cl-re,comp3,nm,of3,ml,nd,0.5,MB-GB,ft2,p3
Konvolüsyonel Sinir Ağı (CNN),sl,ip-cl,comp4,nm,of4,ml,id,0.5,GB-TB,ft2,p3
sl2rarlayan Sinir Ağı (RNN),sl,ts-np,comp4,nm,of4,ml,tsd-td,0.5,GB,ft2,p3
LSTM (Uzun Kısa Süreli Bellek),sl,ts-np,comp4,nm,of4,ml,tsd-td,0.7,GB,ft2,p3
GRU (Gated Recurrent Unit),sl,ts-np,comp4,nm,of4,ml,tsd-td,0.7,GB,ft2,p3
Otonom Kodlayıcı (Autoencoder),ul,dr,comp4,nm,of4,ml,nd-id,0.5,MB-GB,ft2,p1
Derin Otonom Kodlayıcı (Deep Autoencoder),ul,dr,comp5,nm,of5,dl,nd-id,0.7,GB,ft2,p1
Generative Adversarial Network (GAN),ul,dap,comp5,nm,of5,dl,id,0.7,GB-TB,ft2,p3
Variational Autoencoder (VAE),ul,dap,comp4,pb,of4,dl,nd-id,0.7,GB,ft2,p2
Conditional GAN (cGAN),ul,dap,comp5,nm,of5,dl,id,0.7,GB,ft2,p2
CycleGAN,ul,dap,comp5,nm,of5,dl,id,0.7,GB-TB,ft2,p3
StyleGAN,ul,dap,comp5,nm,of5,dl,id,0.7,GB-TB,ft2,p3
Transformer,sl,np,comp4,nm,of4,dl,td-id,1,GB-TB,ft3,p3
Vision Transformer (ViT),sl,ip,comp4,nm,of4,dl,id,0.7,GB-TB,ft3,p3
Capsule Networks (CapsNet),sl,ip,comp4,nm,of4,ml,id,0.7,GB,ft2,p2
Self-Organizing Map (SOM),ul,vis-dre,comp2,db,of2,sl2,nd,0.3,MB,ft1,p1
Radial Basis Function (RBF),sl,cl-re,comp2,cb,of2,sl2,nd,0,MB,ft1,p2
Extreme Learning Machine (ELM),sl,cl-re,comp2,li,of2,sl2,nd,0.3,MB,ft1,p2
Deep Belief Network (DBN),ul,fe,comp4,nm,of4,dl,nd,1,GB,ft2,p1
Hopfield Ağı,sl,cl,comp2,nm,of2,sl2,nd,0.3,MB,ft1,p2
Fuzzy Neural Network (FNN),sl,cl-re,comp2,rb,of2,ml,nd,0.3,MB,ft1,p2
Spiking Neural Network (SNN),ul,ts-np,comp4,nm,of4,ml,id-tsd,0.7,MB-GB,ft2,p2
Liquid State Machine (LSM),ul,ts,comp4,dy,of4,ml,tsd,0.3,MB,ft1,p1
Neural Turing Machine (NTM),ul,dr,comp4,nm,of4,dl,nd-td,1,GB,ft3,p2
Attention Mechanism,sl,np-ip,comp4,nm,of4,ml,td-id,0.5,MB-GB,ft2,p3
Neural Architecture Search (NAS),sl,mol,comp4,ans,of4,dl,nd-id,0.7,GB-TB,ft3,p2
Multi-Layer Perceptron with Dropout,sl,cl-re,comp3,nm,of3,ml,nd ,0.5,MB-GB,ft2,p2
Dueling DQN,rl,g,comp4,nm,of4,ml,nd,0.5,MB-GB,ft2,p2
Hindsight Experience Replay (HER),rl,g,comp4,dy,of4,ml,nd,0.5,MB-GB,ft2,p1
Multi-Agent Reinforcement Learning (MARL),rl,g,comp4,dy,of4,ml,nd,0.7,MB,ft2,p2
Federated Learning,ssl ,se-ed,comp3,ans,of3,ml,nd,0.7,MB-GB,ft3,p2
Transfer Learning,ssl ,mol,comp3,ans,of3,ml,id-td,0.5,MB-GB,ft3,p3
Zero-Shot Learning,ssl ,cl,comp3,pb,of3,ml,id-td,0.7,GB,ft3,p1
One-Shot Learning,ssl ,cl,comp3,pb,of3,ml,id-td,0.7,GB,ft3,p2
Multi-Task Learning,ssl ,cl-re,comp3,ans,of3,ml,nd-id,0.5,MB-GB,ft2,p2
Self-Supervised Learning,ssl ,dr,comp3,nm,of3,ml,id-td,0.5,GB,ft3,p3
Contrastive Learning,ssl ,fe,comp3,nm,of3,ml,id-td,0.7,GB-TB,ft3,p2
Metric Learning,ssl ,cl,comp2,vd,of2,ml,nd-id,0.5,MB-GB,ft2,p3
Graph Neural Networks (GNN),sl, grd,comp4,nm,of4,gl,id,0.5,MB-GB,ft2,p1
Attention-based Neural Networks,sl,np- ip,comp4,nm,of4,dl,td-id,0.7,GB,ft3,p1
Neural Machine Translation (NMT),sl,np,comp4,nm,of4,dl,td,0.7,GB-TB,ft3,p3
Image Captioning,sl,ip,comp4,nm,of4,dl,id-td,0.7,GB-TB,ft3,p2
Video Classification,sl,ip,comp4,nm,of4,dl,tsd-id,0.7,GB-TB,ft3,p2
Speech Recognition,sl,so,comp4,nm,of4,dl,ad,0.7,GB-TB,ft3,p3
Emotion Recognition,sl,so-ip,comp4,nm,of4,dl,id-ad,0.7,GB,ft3,p2
Anomaly Detection,ul,dr,comp4,nm,of4,sl2-ml,nd-id,0.3,MB-GB,ft2,p3
Time Series Forecasting,sl,ts,comp3,dy,of3,sl2-ml,tsd,0.3,MB-GB,ft2,p3
Reinforcement Learning with Function Approximation,rl,g,comp4,dy,of4,dl,nd,0.7,GB,ft3,p2
Hierarchical Reinforcement Learning,rl,g,comp4,dy,of4,hl,nd,0.7,GB,ft3,p2
Curriculum Learning,rl,g,comp3,dy,of3,dl,nd,0.7,GB,ft2,p1
Meta-Learning,ssl ,mol,comp3,dy,of3,dl,nd,0.7,GB,ft2,p2
Adversarial Training,sl,cl,comp5,nm,of5,dl,nd-id,0.7,GB-TB,ft3,p2
Semi-Supervised Learning,ssl ,cl,comp3,ans,of3,dl,nd-id,0.7,GB,ft2,p1
Active Learning,ssl ,cl,comp3,ans,of3,sl2-ml,nd,0.3,MB-GB,ft2,p2
Knowledge Distillation,ssl ,mol,comp3,ans,of3,dl,nd-id,0.3,MB-GB,ft2,p2
Ensemble Learning,sl,cl-re,comp3,ans,of3,sl2-ml,nd-id,0.3,MB-GB,ft2,p3
K-Means,ul,cl-dre-fe,comp1,cb,of2,nl,nd-cd,0,MB-GB,ft1,p5
K-Medoids (PAM),ul,cl-dre,comp2,cb,of2,nl,nd-cd,0.3,MB-GB,ft1,p3
Mini-Batch K-Means,ul,cl-dre-ts,comp1,cb,of2,nl,nd,0,GB-TB,ft1,p4
DBSCAN,ul,cl-ip-ts,comp2,db,of1,nl,nd-cd-nod,0.3,GB,ft2,p5
OPTICS,ul,cl-ts,comp3,db,of1,nl,nd-nod,0.5,GB,ft2,p4
HDBSCAN,ul,cl-ts-ip,comp4,db,of1,hl,nd-cd-nod,0.5,GB,ft2,p5
Mean Shift,ul,cl-ip-dre,comp3,db,of2,nl,nd,0.5,MB-GB,ft2,p4
Gaussian Mixture Models (GMM),ul,cl-re-dr-dap,comp3,pb,of3,bl,nd,0.5,MB-GB,ft2,p4
Fuzzy C-Means (FCM),ul,cl-dre,comp3,cb,of3,nl,nd,0.5,MB-GB,ft2,p3
Agglomerative Hierarchical Clustering,ul,cl-vis-dre,comp3,tre,of2,hl,nd-cd,0.5,MB-GB,ft1,p4
Divisive Hierarchical Clustering,ul,cl-vis-dre,comp4,tre,of2,hl,nd-cd,0.5,MB-GB,ft1,p2
Birch,ul,cl-ts,comp2,tre,of2,hl,nd,0,GB-TB,ft2,p3
Spectral Clustering,ul,cl-dre-fe,comp4,li,of3,ml,nd,0.7,MB-GB,ft2,p4
